sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,angle_w_norm,angle_b_norm,gyro_w,gyro_b,gyro_w_s,gyro_b_s
51,583242,197440,0.624756,0.185669,0.730042,-0.205383,0.461975,0.273438,0.716003,-0.446228,0.007813,-0.003906,0.001953,0.535156,-0.140625,0.279297,0.20182344895836518,2.056831229662558,0.20418971185802076,1.986942555980476,-1.7827528441224554,0.0008668938875027429,0.011031446356697443,0.008950643217110154,0.6198178354726491,0.015979318757046054,0.8381553530989969
52,583252,197455,0.624817,0.185608,0.730042,-0.205383,0.460937,0.277039,0.714478,-0.447571,-0.005859,-0.003906,-0.009766,0.818359,0.373047,0.402344,0.2042595175589404,2.3834962455427333,0.20613598488096754,2.700968518722781,-2.4948325338418136,0.0008777439057193259,0.015041702759325223,0.012039911669111199,0.9852696135708235,0.012624242502351743,1.168820114813839
53,583263,197465,0.624817,0.185547,0.730103,-0.205383,0.458862,0.28186,0.712646,-0.449646,-0.013672,-0.003906,-0.013672,1.238281,0.527344,0.439453,0.20678878486188348,2.8914190781805584,0.20864768002271838,3.9287255865905997,-3.720077906567881,0.0008917460203873076,0.021937279249819565,0.019725719353169354,1.4158214818634445,0.017324489716283326,1.6516624612705961
54,583273,197485,0.624817,0.185425,0.730103,-0.205383,0.45166,0.294861,0.706848,-0.457642,0.003906,-0.001953,-0.013672,2.050781,0.691406,0.308594,0.21360714223606245,4.716495700434395,0.21349543067587134,5.395424308650492,-5.181928877974621,0.0009187710997446352,0.030174847976699944,0.014352512985536714,2.1860867374450175,0.01991903119044141,2.178055307600613
55,583283,197503,0.624817,0.185486,0.730042,-0.205444,0.43927,0.310608,0.698242,-0.472351,0.03125,-0.003906,-0.001953,2.927734,0.859375,-0.019531,0.2167595064983404,7.595385679132754,0.21785596760890927,7.16095044582278,-6.943094478213871,0.0009430800762344349,0.04009075141025217,0.0315536613564892,3.0513166380010452,0.01868284885661917,2.648933652011491
56,583293,197513,0.624817,0.185547,0.730042,-0.205566,0.43103,0.319275,0.692871,-0.481812,0.021484,-0.003906,0.001953,3.119141,0.914062,-0.097656,0.22606220222413,9.390324839962023,0.22231880565984433,9.20107918940111,-8.978760383741266,0.0009679593575990772,0.05154893330142338,0.021923350587900566,3.2517820671227335,0.016484700177735977,3.059766645341896
57,583303,197523,0.624817,0.185547,0.730042,-0.205566,0.422485,0.327637,0.687439,-0.491455,-0.003906,-0.003906,-0.001953,3.207031,0.90625,-0.216797,0.22606220222413,11.211126931404166,0.22605880983414553,11.26621799956025,-11.040159189726106,0.0009888090086720936,0.06314758176505736,0.0058590000000000005,3.3396613356252156,0.014570968274159745,3.3504088465482162
58,583314,197533,0.624817,0.185486,0.730042,-0.205566,0.413208,0.33551,0.681885,-0.501709,-0.007813,-0.003906,0.0,3.310547,0.941406,-0.441406,0.2291029751165588,13.092062796072215,0.2298405314122332,13.162946753495948,-12.933106222083715,0.0010098912245423894,0.07380037175648238,0.008734975958753407,3.4699864485154697,0.011433756206043224,3.481041737154283
59,583331,197544,0.624817,0.185425,0.730042,-0.205566,0.402893,0.342834,0.676331,-0.512573,-0.001953,-0.001953,-0.003906,3.435547,0.974609,-0.701172,0.23230716310756824,15.042189751230095,0.23176171384516295,15.519420759482603,-15.28765904563744,0.0010206013685709525,0.08703527561605602,0.004783853467655547,3.6392977434766176,0.012260594914129628,3.576666960967356
60,583341,197557,0.624817,0.185364,0.730042,-0.205566,0.391479,0.349487,0.670654,-0.52417,-0.013672,0.001953,-0.007813,3.455078,0.976562,-0.912109,0.23566811438877888,17.079029448811234,0.2358065925453304,17.957388319166636,-17.721581726621306,0.0010431506240265094,0.1007278799830911,0.015867601015906594,3.7044810910313744,0.02892980116153619,3.7265751296650955
61,583351,197573,0.624817,0.185364,0.730042,-0.205566,0.366638,0.359985,0.660034,-0.548035,0.023437,0.009766,-0.005859,3.416016,0.958984,-1.150391,0.23566811438877888,21.17269486989529,0.24889526318312005,20.446252754573234,-20.197357491390115,0.0011161169104501169,0.11470634163318107,0.026057544128332583,3.7299081861880996,0.07484065911908296,3.8949931636926736
62,583361,197583,0.624695,0.185547,0.730042,-0.20575,0.352173,0.36377,0.654602,-0.561401,0.087891,0.011719,0.009766,3.582031,0.90625,-1.751953,0.2462865957249672,23.400964729824338,0.30049342289834513,23.012773223379796,-22.71227980048145,0.0014037646177613573,0.12912095073643765,0.08920503123703281,4.089202179113916,0.2066722365972194,4.058178959772418
63,583372,197593,0.624512,0.186157,0.729919,-0.206299,0.338013,0.366272,0.649414,-0.574341,0.234375,0.033203,0.027344,3.710938,0.830078,-2.033203,0.294546328305507,25.536384973105207,0.45617837457114774,25.65175823938781,-25.19557986481666,0.00227167191636854,0.14394254982261032,0.2382892657464872,4.312076618653361,0.4544302246895887,4.233809284752558
64,583383,197604,0.623962,0.187683,0.729614,-0.207703,0.322205,0.367676,0.643799,-0.588684,0.658203,0.064453,0.058594,3.746094,0.722656,-2.300781,0.49029796168369366,27.8747920952629,1.032479482326563,27.954736805098708,-26.922257322772147,0.005484416194104072,0.15687700181758604,0.6639417408583377,4.455226723875341,0.9221656501043716,4.4303380780099015
65,583394,197614,0.622864,0.19104,0.72876,-0.210876,0.305725,0.367859,0.638062,-0.603394,1.248047,0.085937,0.095703,3.748047,0.667969,-2.550781,1.014092872752792,30.27395452885131,1.8985015674336765,30.803169645858645,-28.90466807842497,0.010312287355339624,0.17287494395577038,1.2546575414777532,4.5826327159320766,1.4451828411328869,4.596927863455686
66,583411,197625,0.618652,0.203796,0.72522,-0.223083,0.288757,0.366882,0.632507,-0.618042,2.353516,0.148437,0.175781,3.738281,0.578125,-2.810547,3.117173653165856,32.68758769844978,3.0733170693519103,34.243261531807505,-31.169944462455597,0.016861609802216935,0.19219588077194777,2.364734671202247,4.712552152474814,1.9839285064874264,4.7546356129382215
67,583421,197645,0.615662,0.212524,0.722656,-0.231506,0.252563,0.360352,0.622009,-0.647644,2.689453,0.164062,0.230469,3.5,0.433594,-3.433594,4.576397021260534,37.64312893362403,4.871839669772595,37.78481148604495,-32.91297181627235,0.026887953869790503,0.2120866468228912,2.704290986379609,4.922151106342835,2.425312369686668,4.989742198956899
68,583431,197660,0.612427,0.222168,0.719543,-0.240479,0.212585,0.347473,0.613892,-0.676208,2.912109,0.136719,0.3125,3.345703,0.427734,-3.826172,6.168623837896675,42.7368444028495,6.8927095989840454,41.39353213276114,-34.50082253377709,0.03815383244220747,0.23235467044377964,2.9320175925191854,5.100615366066039,2.735815093568458,5.212304702284705
69,583450,197674,0.605469,0.24176,0.712524,-0.259338,0.190063,0.338318,0.609558,-0.691223,2.867188,0.097656,0.107422,3.476563,0.220703,-4.423828,9.482910963787116,45.58254186645014,8.815721536832736,45.63725942905563,-36.82153789222289,0.048874175534038784,0.25618914628778094,2.870861056854546,5.630759653968726,2.8316402673032153,5.394781565450626
70,583463,197685,0.601624,0.250549,0.709045,-0.269348,0.16864,0.328735,0.605225,-0.705078,2.804688,0.091797,-0.074219,3.427734,0.121094,-4.546875,11.118442518810044,48.31755776243226,11.14689077364163,49.42012546944759,-38.27323469580596,0.06186990038204555,0.2774352403380614,2.807171160886703,5.695445232571111,2.910895578553789,5.534148398127761
