sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,gyro_w,gyro_b,gyro_w_s,gyro_b_s,gyro_w_norm,gyro_b_norm,angle_w_norm,angle_b_norm
45,583361,197373,0.624695,0.185547,0.730042,-0.20575,0.45929,0.268066,0.725037,-0.437622,0.087891,0.011719,0.009766,0.097656,-0.183594,0.007813,0.21649563862628451,0.5356100152916313,0.264779671451163,0.5356009736008145,-0.2708213021496515,0.08920503123703281,0.20809731891833685,0.32754322541878655,0.15064143619970569,0.012592435649078335,0.006388392931174713,0.0013514801587564905,0.002902591945343408
46,583372,197383,0.624512,0.186157,0.729919,-0.206299,0.4599,0.267822,0.724426,-0.438171,0.234375,0.033203,0.027344,0.058594,-0.1875,-0.011719,0.24778825571293908,0.653497871949307,0.4123067856265351,0.6481376152771433,-0.2358308296506082,0.2382892657464872,0.19679136616477869,0.6646790565237283,0.22473833031908036,0.026163771417579085,0.009990734104826211,0.002173808813761085,0.003539572331682736
47,583383,197393,0.623962,0.187683,0.729614,-0.207703,0.460327,0.267578,0.723877,-0.438782,0.658203,0.064453,0.058594,0.125,-0.15625,-0.037109,0.43001048680296455,0.7626059978882451,0.9807152471209619,0.8022900254744922,0.17842522164646968,0.6639417408583377,0.20350955845119412,1.0487395401471142,0.3143581739929748,0.041624049732058584,0.014347748750036079,0.005342165818821872,0.004412106471141598
48,583394,197404,0.622864,0.19104,0.72876,-0.210876,0.460632,0.267639,0.723022,-0.439819,1.248047,0.085937,0.095703,0.300781,-0.1875,-0.001953,0.9524375589336737,0.9133703555204078,1.8406901448586648,0.986488090374898,0.8542020544837667,1.2546575414777532,0.3544422014518023,1.463876689917236,0.3932180164352612,0.05833531305593529,0.018181648412818812,0.010135738884676733,0.005454705155405487
49,583411,197415,0.618652,0.203796,0.72522,-0.223083,0.460999,0.26825,0.721619,-0.441406,2.353516,0.148437,0.175781,0.466797,-0.238281,0.095703,3.056844295528948,1.1463658867228694,3.0129290887502806,1.2671547619175483,1.7457743268327324,2.364734671202247,0.5327629288708065,1.8612561221483095,0.504242629957045,0.0743317429952537,0.023579290801633717,0.016669898245568786,0.00704333586455713
50,583421,197425,0.615662,0.212524,0.722656,-0.231506,0.461548,0.269409,0.719666,-0.443237,2.689453,0.164062,0.230469,0.544922,-0.253906,0.210937,4.516370127314798,1.4566003397936609,4.811658287713504,1.5913328114484462,3.220325476265058,2.704290986379609,0.637104905717261,2.228239250025483,0.6783897893425687,0.08910457575370792,0.03204573855203797,0.02669616745830883,0.00887824986373999
51,583431,197440,0.612427,0.222168,0.719543,-0.240479,0.461975,0.273438,0.716003,-0.446228,2.912109,0.136719,0.3125,0.535156,-0.140625,0.279297,6.108982975171016,2.056831229662558,6.832972217052311,1.986942555980476,4.846029661071835,2.9320175925191854,0.6198178354726491,2.539656221313725,0.9616151006274006,0.10164060394006448,0.04581519828968753,0.03796314284887547,0.011117481852165505
52,583450,197455,0.605469,0.24176,0.712524,-0.259338,0.460937,0.277039,0.714478,-0.447571,2.867188,0.097656,0.107422,0.818359,0.373047,0.402344,9.423656481619084,2.3834962455427333,8.756092236721164,2.700968518722781,6.055123717998383,2.870861056854546,0.9852696135708235,2.8033576500501143,1.3468828772772923,0.11225585245958754,0.06454561865617597,0.04868277705324804,0.015159014697192389
53,583463,197465,0.601624,0.250549,0.709045,-0.269348,0.458862,0.28186,0.712646,-0.449646,2.804688,0.091797,-0.074219,1.238281,0.527344,0.439453,11.05900720562771,2.8914190781805584,11.087141387540285,3.9287255865905997,7.158415800949685,2.807171160886703,1.4158214818634445,2.9477809522483303,1.7353141827418537,0.11806958373965887,0.08342983912776408,0.06167624285550048,0.02210837056717285
54,583473,197485,0.597412,0.258545,0.705688,-0.279724,0.45166,0.294861,0.706848,-0.457642,2.830078,0.117188,-0.253906,2.050781,0.691406,0.308594,12.672444393873215,4.716495700434395,13.49853789607629,5.395424308650492,8.103113587425797,2.843860539876032,2.1860867374450175,3.031371315388335,2.121393672728704,0.12143449716777441,0.1021997222599957,0.07511757164872797,0.03041018502248748
55,583488,197503,0.587097,0.275085,0.69873,-0.30249,0.43927,0.310608,0.698242,-0.472351,3.074219,0.201172,-0.349609,2.927734,0.859375,-0.019531,16.1716158814104,7.595385679132754,15.615170570065047,7.16095044582278,8.454220124242266,3.1005675426324775,3.0513166380010452,3.124493903512465,2.528560617449107,0.1251831284150742,0.12199480634480442,0.0869158618116526,0.04040342370631731
56,583503,197513,0.580872,0.284546,0.694519,-0.315125,0.43103,0.319275,0.692871,-0.481812,3.351563,0.251953,-0.314453,3.119141,0.914062,-0.097656,18.16596551785104,9.390324839962023,18.167894663891452,9.20107918940111,8.966815474490343,3.3756977865897593,3.2517820671227335,3.2696069827427006,2.907707493149935,0.1310246265322576,0.14042764914382921,0.10114496255972731,0.05195096925156381
57,583513,197523,0.574707,0.292908,0.690674,-0.326904,0.422485,0.327637,0.687439,-0.491455,3.244141,0.294922,-0.457031,3.207031,0.90625,-0.216797,20.006819851562863,11.211126931404166,21.271809079590973,11.26621799956025,10.005591080030722,3.2894235283596425,3.3396613356252156,3.4967738535344806,3.2346588658882105,0.14016918369454637,0.15632292256648408,0.11844644494131419,0.06364007688392889
58,583534,197533,0.560181,0.308838,0.683411,-0.351807,0.413208,0.33551,0.681885,-0.501709,3.484375,0.474609,-0.691406,3.310547,0.941406,-0.441406,23.822627674759733,13.092062796072215,24.17857946642058,13.162946753495948,11.015632712924631,3.583875709388092,3.4699864485154697,3.723870534928658,3.4552047871372227,0.14931091539660704,0.1670451216847934,0.13464902977441337,0.07437594918708297
59,583548,197544,0.541199,0.325928,0.675659,-0.379944,0.402893,0.342834,0.676331,-0.512573,3.75,0.603516,-0.824219,3.435547,0.974609,-0.701172,28.19201647237082,15.042189751230095,27.155635566691195,15.519420759482603,11.636214807208592,3.886652611466196,3.6392977434766176,3.9031501246230325,3.6034741501533465,0.1565277795910986,0.17425347822297121,0.1512433931393645,0.08771407355593636
60,583561,197557,0.529297,0.335022,0.671387,-0.396057,0.391479,0.349487,0.670654,-0.52417,4.160156,0.792969,-1.183594,3.455078,0.976562,-0.912109,30.705467815558453,17.079029448811234,30.252019653845263,17.957388319166636,12.294631334678627,4.397339256429165,3.7044810910313744,4.04720805943074,3.754944800372008,0.1623268030795976,0.18161747055176403,0.16850290083054184,0.10151346809017837
